,,,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Week Start,Week End,Position,Track Name,Artist,Streams,URL
2/4/22,2/11/22,61,Wants and Needs (feat. Lil Baby),Drake,2432846,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
2/4/22,2/11/22,62,Sacrifice,The Weeknd,2419870,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
2/4/22,2/11/22,63,Pepas,Farruko,2411188,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
2/4/22,2/11/22,64,2055,Sleepy Hallow,2406787,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
2/4/22,2/11/22,65,You Right,Doja Cat,2392891,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
2/4/22,2/11/22,66,Ginseng Strip 2002,Yung Lean,2390926,https://open.spotify.com/track/79nEEoEPY2w8EXj9hjn5oc
2/4/22,2/11/22,67,Hrs and Hrs,Muni Long,2388945,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
2/4/22,2/11/22,68,Get Into It (Yuh),Doja Cat,2378695,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
2/4/22,2/11/22,69,All For Us - from the HBO Original Series Euphoria,Labrinth,2377786,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
2/4/22,2/11/22,70,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2345959,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
2/4/22,2/11/22,71,Space Song,Beach House,2343530,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
2/4/22,2/11/22,72,Monëy so big,Yeat,2341666,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
2/4/22,2/11/22,73,Blinding Lights,The Weeknd,2317210,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2/4/22,2/11/22,74,Big Energy,Latto,2312079,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
2/4/22,2/11/22,75,All Girls Are The Same,Juice WRLD,2297166,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
2/4/22,2/11/22,76,Lucid Dreams,Juice WRLD,2293659,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
2/4/22,2/11/22,77,YKWIM?,Yot Club,2282604,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
2/4/22,2/11/22,78,The Spins,Mac Miller,2275150,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
2/4/22,2/11/22,79,MONTERO (Call Me By Your Name),Lil Nas X,2256822,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
2/4/22,2/11/22,80,NEW MAGIC WAND,"Tyler, The Creator",2252061,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
2/4/22,2/11/22,81,Oh My God,Adele,2237346,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
2/4/22,2/11/22,82,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2237064,https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX
2/4/22,2/11/22,83,See You Again (feat. Kali Uchis),"Tyler, The Creator",2231852,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
2/4/22,2/11/22,84,deja vu,Olivia Rodrigo,2202700,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
2/4/22,2/11/22,85,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,2198030,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
2/4/22,2/11/22,86,Daddy Issues,The Neighbourhood,2180819,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
2/4/22,2/11/22,87,drivers license,Olivia Rodrigo,2172297,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
2/4/22,2/11/22,88,Toxic,BoyWithUke,2159513,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
2/4/22,2/11/22,89,Martin & Gina,Polo G,2143523,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
2/4/22,2/11/22,90,Tell Em,Cochise,2136706,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
2/4/22,2/11/22,91,Mr. Rager,Kid Cudi,2136583,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
2/4/22,2/11/22,92,Scared Money (feat. J. Cole and Moneybagg Yo),YG,2134839,https://open.spotify.com/track/4heBcjj4Lw3X2sQVFNbLbz
2/4/22,2/11/22,93,Good Days,SZA,2130114,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
2/4/22,2/11/22,94,Dandelions,Ruth B.,2104860,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
2/4/22,2/11/22,95,Rumors (feat. Lil Durk),Gucci Mane,2088548,https://open.spotify.com/track/0P2P1AxcRYhiZvoF5MyRmM
2/4/22,2/11/22,96,All Of You,Stephanie Beatriz,2080878,https://open.spotify.com/track/4X25mFLehFnxa1TwtLKcE2
2/4/22,2/11/22,97,By Your Side,Rod Wave,2074344,https://open.spotify.com/track/2AaJeBEq3WLcfFW1y8svDf
2/4/22,2/11/22,98,Money Trees,Kendrick Lamar,2050151,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
2/4/22,2/11/22,99,love nwantiti (ah ah ah),CKay,2028620,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
2/4/22,2/11/22,100,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,2012248,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
2/4/22,2/11/22,101,Jugaste y Sufrí,Eslabon Armado,2009850,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
2/4/22,2/11/22,102,Fair Trade (with Travis Scott),Drake,1984562,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
2/4/22,2/11/22,103,Miss The Rage (feat. Playboi Carti),Trippie Redd,1966848,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
2/4/22,2/11/22,104,Yonaguni,Bad Bunny,1963306,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
2/4/22,2/11/22,105,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1962745,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
2/4/22,2/11/22,106,Mr. Brightside,The Killers,1960274,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
2/4/22,2/11/22,107,Work Out,J. Cole,1941726,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
2/4/22,2/11/22,108,Shoota (feat. Lil Uzi Vert),Playboi Carti,1937977,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
2/4/22,2/11/22,109,Me or Sum (feat. Future & Lil Baby),Nardo Wick,1935038,https://open.spotify.com/track/2HHLfzE7PkljuqyYU4vwmh
2/4/22,2/11/22,110,SLOW DANCING IN THE DARK,Joji,1919015,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
2/4/22,2/11/22,111,Eazy,The Game,1913054,https://open.spotify.com/track/6Ab81Bs9fcOwaTYuBsUUpI
2/4/22,2/11/22,112,Formula,Labrinth,1894995,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
2/4/22,2/11/22,113,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,1889613,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
2/4/22,2/11/22,114,Is There Someone Else?,The Weeknd,1882701,https://open.spotify.com/track/0mL82sxCRjrs3br407IdJh
2/4/22,2/11/22,115,Die For You,The Weeknd,1880314,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
2/4/22,2/11/22,116,Buy Dirt,Jordan Davis,1871988,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
2/4/22,2/11/22,117,Streets,Doja Cat,1854590,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
2/4/22,2/11/22,118,DÁKITI,Bad Bunny,1842154,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2/4/22,2/11/22,119,XO Tour Llif3,Lil Uzi Vert,1814517,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
2/4/22,2/11/22,120,My Universe,Coldplay,1812855,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
2/4/22,2/11/22,121,Dreams - 2004 Remaster,Fleetwood Mac,1810783,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
2/4/22,2/11/22,122,Heartless,Kanye West,1796865,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
2/4/22,2/11/22,123,Looking Out for You,Joy Again,1790796,https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv
2/4/22,2/11/22,124,Jocelyn Flores,XXXTENTACION,1787430,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
2/4/22,2/11/22,125,Do It To It,ACRAZE,1784266,https://open.spotify.com/track/20on25jryn53hWghthWWW3
2/4/22,2/11/22,126,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1783149,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
2/4/22,2/11/22,127,Young,Vacations,1781975,https://open.spotify.com/track/1KIJclzEbNhSVw8tiHPWwE
2/4/22,2/11/22,128,Redbone,Childish Gambino,1780975,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
2/4/22,2/11/22,129,Star Shopping,Lil Peep,1780921,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
2/4/22,2/11/22,130,Praise God,Kanye West,1773466,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
2/4/22,2/11/22,131,my ex's best friend (with blackbear),Machine Gun Kelly,1773121,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
2/4/22,2/11/22,132,Love & War,Kodak Black,1772525,https://open.spotify.com/track/1WGmhglF1ghRiHsx4YUq86
2/4/22,2/11/22,133,Circles,Post Malone,1771886,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
2/4/22,2/11/22,134,Moth To A Flame (with The Weeknd),Swedish House Mafia,1767050,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
2/4/22,2/11/22,135,LOVE. FEAT. ZACARI.,Kendrick Lamar,1759950,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
2/4/22,2/11/22,136,Black Summer,Red Hot Chili Peppers,1754462,https://open.spotify.com/track/3a94TbZOxhkI9xuNwYL53b
2/4/22,2/11/22,137,For Tonight,Giveon,1743822,https://open.spotify.com/track/61Emqg95O9zo1GNOcyxq4Y
2/4/22,2/11/22,138,Desesperados,Rauw Alejandro,1740714,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
2/4/22,2/11/22,139,Come & Go (with Marshmello),Juice WRLD,1740163,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
2/4/22,2/11/22,140,MIDDLE CHILD,J. Cole,1736543,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
2/4/22,2/11/22,141,High,The Chainsmokers,1733684,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
2/4/22,2/11/22,142,The Real Slim Shady,Eminem,1728643,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
2/4/22,2/11/22,143,favorite crime,Olivia Rodrigo,1725221,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
2/4/22,2/11/22,144,Ric Flair Drip (with Metro Boomin),Offset,1725098,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
2/4/22,2/11/22,145,Gospel (with Eminem),Dr. Dre,1724625,https://open.spotify.com/track/3a2jFwnts4Cf0OwJbK61SL
2/4/22,2/11/22,146,Whiskey Glasses,Morgan Wallen,1723046,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
2/4/22,2/11/22,147,Ain't Shit,Doja Cat,1720868,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
2/4/22,2/11/22,148,Love Sosa,Chief Keef,1719929,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
2/4/22,2/11/22,149,Surround Sound (feat. 21 Savage & Baby Tate),JID,1719201,https://open.spotify.com/track/0cp97b37sFNsdIbQH6po3T
2/4/22,2/11/22,150,Already Dead,Juice WRLD,1712115,https://open.spotify.com/track/3qXY1fCjuOtrRwTw3TlNq9
2/4/22,2/11/22,151,telepatía,Kali Uchis,1709915,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
2/4/22,2/11/22,152,Wishing Well,Juice WRLD,1706126,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
2/4/22,2/11/22,153,Neon Guts (feat. Pharrell Williams),Lil Uzi Vert,1700503,https://open.spotify.com/track/1MJErNPIQUoEMu4YUUmecm
2/4/22,2/11/22,154,Save Your Tears,The Weeknd,1700383,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
2/4/22,2/11/22,155,Washing Machine Heart,Mitski,1695616,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu
2/4/22,2/11/22,156,Yes Indeed,Lil Baby,1692002,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
2/4/22,2/11/22,157,Heather,Conan Gray,1689205,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
2/4/22,2/11/22,158,Electric Love,BØRNS,1683150,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
2/4/22,2/11/22,159,Bad Man (Smooth Criminal),Polo G,1682889,https://open.spotify.com/track/62l3NSQPUxvcwwzKUmysrE
2/4/22,2/11/22,160,HUMBLE.,Kendrick Lamar,1678622,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
2/4/22,2/11/22,161,Cigarette Daydreams,Cage The Elephant,1677865,https://open.spotify.com/track/2tznHmp70DxMyr2XhWLOW0
2/4/22,2/11/22,162,goosebumps,Travis Scott,1670410,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
2/4/22,2/11/22,163,we fell in love in october,girl in red,1669600,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
2/4/22,2/11/22,164,Wasted On You,Morgan Wallen,1663618,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
2/4/22,2/11/22,165,I AM WOMAN,Emmy Meli,1662973,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
