,,,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Week Start,Week End,Position,Track Name,Artist,Streams,URL
1/7/22,1/14/22,20,Dawn FM,The Weeknd,5014641,https://open.spotify.com/track/6krYS8KtmNAYyb5uTZiYW4
1/7/22,1/14/22,21,Easy On Me,Adele,4870031,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
1/7/22,1/14/22,22,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,4515349,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
1/7/22,1/14/22,23,Starry Eyes,The Weeknd,4499799,https://open.spotify.com/track/6zzdyvVWjGrQBraSvuqJPY
1/7/22,1/14/22,24,thought i was playing,Gunna,4413561,https://open.spotify.com/track/3XLbDUB5BX2WqL2qoAsvtb
1/7/22,1/14/22,25,Need to Know,Doja Cat,4401250,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
1/7/22,1/14/22,26,Knife Talk (with 21 Savage ft. Project Pat),Drake,4206001,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
1/7/22,1/14/22,27,I Hate U,SZA,3907885,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
1/7/22,1/14/22,28,good 4 u,Olivia Rodrigo,3881339,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
1/7/22,1/14/22,29,Cold Heart - PNAU Remix,Elton John,3832177,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
1/7/22,1/14/22,30,Kiss Me More (feat. SZA),Doja Cat,3829684,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
1/7/22,1/14/22,31,Broadway Girls (feat. Morgan Wallen),Lil Durk,3803892,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
1/7/22,1/14/22,32,Don’t Break My Heart,The Weeknd,3796952,https://open.spotify.com/track/6a4GH1gljLL7VvmO9u5O92
1/7/22,1/14/22,33,A Tale By Quincy,The Weeknd,3758290,https://open.spotify.com/track/759ndr57jb0URg4j9YSWml
1/7/22,1/14/22,34,I Love You So,The Walters,3748552,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
1/7/22,1/14/22,35,Dark Red,Steve Lacy,3601503,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
1/7/22,1/14/22,36,The Family Madrigal,Stephanie Beatriz,3547106,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
1/7/22,1/14/22,37,Every Angel is Terrifying,The Weeknd,3514648,https://open.spotify.com/track/3vJcz8exedHCjQ9ed95NqU
1/7/22,1/14/22,38,Woman,Doja Cat,3501300,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
1/7/22,1/14/22,39,What Else Can I Do?,Diane Guerrero,3434139,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
1/7/22,1/14/22,40,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,3430774,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
1/7/22,1/14/22,41,Shivers,Ed Sheeran,3401238,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
1/7/22,1/14/22,42,family ties (with Kendrick Lamar),Baby Keem,3328828,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
1/7/22,1/14/22,43,Meet Me At Our Spot,THE ANXIETY,3257644,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
1/7/22,1/14/22,44,25k jacket (feat. Lil Baby),Gunna,3234060,https://open.spotify.com/track/0boodYr1uIpSVmGSP65Fmk
1/7/22,1/14/22,45,mop (feat. Young Thug),Gunna,3221639,https://open.spotify.com/track/2ZGEjmwyeZ3rpEezkZwqOP
1/7/22,1/14/22,46,Sweater Weather,The Neighbourhood,3200512,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
1/7/22,1/14/22,47,One Right Now (with The Weeknd),Post Malone,3152937,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
1/7/22,1/14/22,48,Smokin Out The Window,Bruno Mars,3125701,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
1/7/22,1/14/22,49,alotta cake,Gunna,3082586,https://open.spotify.com/track/2iCDO8ePNuCvMiMFc0FQdA
1/7/22,1/14/22,50,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,3062674,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
1/7/22,1/14/22,51,Sky,Playboi Carti,3013547,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
1/7/22,1/14/22,52,poochie gown,Gunna,2961210,https://open.spotify.com/track/5UwA4sYMyaLALd3F2hUgjR
1/7/22,1/14/22,53,how you did that (feat. Kodak Black),Gunna,2956995,https://open.spotify.com/track/49W1ZqawgaAwbIY3Hlrp0K
1/7/22,1/14/22,54,Happier Than Ever,Billie Eilish,2827760,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
1/7/22,1/14/22,55,Phantom Regret by Jim,The Weeknd,2822528,https://open.spotify.com/track/1NlK2NtpuUazpziLhnJwEV
1/7/22,1/14/22,56,Dos Oruguitas,Sebastian Yatra,2781530,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
1/7/22,1/14/22,57,Way 2 Sexy (with Future & Young Thug),Drake,2740854,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
1/7/22,1/14/22,58,RAPSTAR,Polo G,2729571,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
1/7/22,1/14/22,59,Bad Habits,Ed Sheeran,2728231,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
1/7/22,1/14/22,60,Waiting On A Miracle,Stephanie Beatriz,2714233,https://open.spotify.com/track/3oRW9ZGPRbLRMneQ5lwflt
1/7/22,1/14/22,61,traitor,Olivia Rodrigo,2672846,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
1/7/22,1/14/22,62,MONTERO (Call Me By Your Name),Lil Nas X,2635936,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
1/7/22,1/14/22,63,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",Nardo Wick,2611830,https://open.spotify.com/track/7ACW7VpgoKmfM1sKo15UhX
1/7/22,1/14/22,64,too easy,Gunna,2600119,https://open.spotify.com/track/2Hph3X77ySNgBCIak5CMc6
1/7/22,1/14/22,65,Levitating (feat. DaBaby),Dua Lipa,2586544,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
1/7/22,1/14/22,66,You Right,Doja Cat,2552287,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
1/7/22,1/14/22,67,No Role Modelz,J. Cole,2509935,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
1/7/22,1/14/22,68,2055,Sleepy Hallow,2509656,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
1/7/22,1/14/22,69,Blinding Lights,The Weeknd,2477317,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
1/7/22,1/14/22,70,Pepas,Farruko,2466392,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
1/7/22,1/14/22,71,Oh My God,Adele,2458269,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
1/7/22,1/14/22,72,Ghost,Justin Bieber,2456409,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
1/7/22,1/14/22,73,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2441090,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
1/7/22,1/14/22,74,I AM WOMAN,Emmy Meli,2372720,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
1/7/22,1/14/22,75,Freaks,Surf Curse,2356718,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
1/7/22,1/14/22,76,Do It To It,ACRAZE,2355453,https://open.spotify.com/track/20on25jryn53hWghthWWW3
1/7/22,1/14/22,77,drivers license,Olivia Rodrigo,2354784,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
1/7/22,1/14/22,78,By Your Side,Rod Wave,2338537,https://open.spotify.com/track/2AaJeBEq3WLcfFW1y8svDf
1/7/22,1/14/22,79,20 Min,Lil Uzi Vert,2336628,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng
1/7/22,1/14/22,80,THATS WHAT I WANT,Lil Nas X,2324431,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
1/7/22,1/14/22,81,Get Into It (Yuh),Doja Cat,2307057,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
1/7/22,1/14/22,82,idk that bitch (feat. G Herbo),Gunna,2306240,https://open.spotify.com/track/5ts6i8uvQcihNqmUcxRMFk
1/7/22,1/14/22,83,Wants and Needs (feat. Lil Baby),Drake,2262192,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
1/7/22,1/14/22,84,south to west,Gunna,2240167,https://open.spotify.com/track/6hP9uvjkqnt8u2i9u2xhJC
1/7/22,1/14/22,85,Softcore,The Neighbourhood,2229278,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
1/7/22,1/14/22,86,deja vu,Olivia Rodrigo,2223765,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
1/7/22,1/14/22,87,Praise God,Kanye West,2188723,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
1/7/22,1/14/22,88,Space Song,Beach House,2186983,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
1/7/22,1/14/22,89,505,Arctic Monkeys,2179147,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
1/7/22,1/14/22,90,Infinity,Jaymes Young,2173085,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
1/7/22,1/14/22,91,Lucid Dreams,Juice WRLD,2173017,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
1/7/22,1/14/22,92,Good Days,SZA,2160527,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
1/7/22,1/14/22,93,Alien Blues,Vundabar,2156923,https://open.spotify.com/track/11iIikXxC6NP0Ma8vMD27x
1/7/22,1/14/22,94,private island,Gunna,2153128,https://open.spotify.com/track/0syVTyo71ordJjSd8cuElB
1/7/22,1/14/22,95,love nwantiti (ah ah ah),CKay,2131082,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
1/7/22,1/14/22,96,Already Dead,Juice WRLD,2130017,https://open.spotify.com/track/2quVkyLSVr5wX2QIhnexUt
1/7/22,1/14/22,97,All Girls Are The Same,Juice WRLD,2111383,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
1/7/22,1/14/22,98,YKWIM?,Yot Club,2102167,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
1/7/22,1/14/22,99,livin wild,Gunna,2092933,https://open.spotify.com/track/2Ep9xSNftebXZkSQp1yM25
1/7/22,1/14/22,100,Bad Man (Smooth Criminal),Polo G,2088336,https://open.spotify.com/track/62l3NSQPUxvcwwzKUmysrE
1/7/22,1/14/22,101,Fair Trade (with Travis Scott),Drake,2076488,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
1/7/22,1/14/22,102,Mr. Rager,Kid Cudi,2059945,https://open.spotify.com/track/2ncLdwTd8qzkxiJjlbiOgC
1/7/22,1/14/22,103,Flower Shops (feat. Morgan Wallen),ERNEST,2044736,https://open.spotify.com/track/2ccuOtUjIyx3tPcsnpeBzJ
1/7/22,1/14/22,104,See You Again (feat. Kali Uchis),"Tyler, The Creator",2041320,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
1/7/22,1/14/22,105,Daddy Issues,The Neighbourhood,2039011,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
1/7/22,1/14/22,106,Martin & Gina,Polo G,2035847,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
1/7/22,1/14/22,107,Pursuit Of Happiness (Nightmare),Kid Cudi,2022469,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
1/7/22,1/14/22,108,All Of You,Stephanie Beatriz,2004092,https://open.spotify.com/track/4X25mFLehFnxa1TwtLKcE2
1/7/22,1/14/22,109,Die For You,The Weeknd,1991605,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
1/7/22,1/14/22,110,Jugaste y Sufrí,Eslabon Armado,1989659,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
1/7/22,1/14/22,111,Tell Em,Cochise,1984357,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
1/7/22,1/14/22,112,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1984066,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
1/7/22,1/14/22,113,Buy Dirt,Jordan Davis,1977636,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
1/7/22,1/14/22,114,Miss The Rage (feat. Playboi Carti),Trippie Redd,1969209,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
1/7/22,1/14/22,115,My Universe,Coldplay,1962322,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
1/7/22,1/14/22,116,Love & War,Kodak Black,1961786,https://open.spotify.com/track/1WGmhglF1ghRiHsx4YUq86
1/7/22,1/14/22,117,Beggin',Måneskin,1958974,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
1/7/22,1/14/22,118,Burn,Juice WRLD,1958951,https://open.spotify.com/track/0QwKxajohg1rAMMmv1AWe1
1/7/22,1/14/22,119,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1941413,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
1/7/22,1/14/22,120,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1917512,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
1/7/22,1/14/22,121,Fancy Like,Walker Hayes,1897507,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE
1/7/22,1/14/22,122,you & me,Gunna,1885325,https://open.spotify.com/track/4xTRiW8KxQjf6JxeyozXkZ
1/7/22,1/14/22,123,NEW MAGIC WAND,"Tyler, The Creator",1878803,https://open.spotify.com/track/0fv2KH6hac06J86hBUTcSf
1/7/22,1/14/22,124,SLOW DANCING IN THE DARK,Joji,1872794,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
1/7/22,1/14/22,125,Streets,Doja Cat,1869758,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
1/7/22,1/14/22,126,Man in the Mirror,A Boogie Wit da Hoodie,1867686,https://open.spotify.com/track/7uLFOXgLrS90tEYPO1DGXy
1/7/22,1/14/22,127,Toxic,BoyWithUke,1865068,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
1/7/22,1/14/22,128,too easy (Remix) [feat. Future & Roddy Ricch],Gunna,1850123,https://open.spotify.com/track/58eOTmtMDTcTxRPXbZAvcR
1/7/22,1/14/22,129,Shoota (feat. Lil Uzi Vert),Playboi Carti,1846509,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
1/7/22,1/14/22,130,Mr. Brightside,The Killers,1846096,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
1/7/22,1/14/22,131,The Spins,Mac Miller,1845860,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
1/7/22,1/14/22,132,Money Trees,Kendrick Lamar,1831022,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4
1/7/22,1/14/22,133,Save Your Tears,The Weeknd,1820515,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
1/7/22,1/14/22,134,Leave The Door Open,Bruno Mars,1819612,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
1/7/22,1/14/22,135,Notion,The Rare Occasions,1818232,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
1/7/22,1/14/22,136,Ain't Shit,Doja Cat,1815615,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
1/7/22,1/14/22,137,flooded,Gunna,1804148,https://open.spotify.com/track/2uir82NkzZ8yIT01L6UoJj
1/7/22,1/14/22,138,Life Goes On,Oliver Tree,1794703,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
1/7/22,1/14/22,139,No Love (with SZA),Summer Walker,1792498,https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk
1/7/22,1/14/22,140,The Hills,The Weeknd,1788184,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
1/7/22,1/14/22,141,Yonaguni,Bad Bunny,1771343,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
1/7/22,1/14/22,142,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,1769892,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
1/7/22,1/14/22,143,Circles,Post Malone,1757013,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
1/7/22,1/14/22,144,Heartbreak Anniversary,Giveon,1753916,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
1/7/22,1/14/22,145,Work Out,J. Cole,1746616,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
1/7/22,1/14/22,146,Looking Out for You,Joy Again,1737644,https://open.spotify.com/track/3jfZ9M23l0L7RxzYMTgBTv
1/7/22,1/14/22,147,favorite crime,Olivia Rodrigo,1729278,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
1/7/22,1/14/22,148,Big Energy,Latto,1728580,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
1/7/22,1/14/22,149,Robbery,Juice WRLD,1728569,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
1/7/22,1/14/22,150,XO Tour Llif3,Lil Uzi Vert,1728047,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
1/7/22,1/14/22,151,telepatía,Kali Uchis,1718343,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
1/7/22,1/14/22,152,Wasted On You,Morgan Wallen,1716884,https://open.spotify.com/track/3cBsEDNhFI9E82vPj3kvi3
1/7/22,1/14/22,153,Jocelyn Flores,XXXTENTACION,1707606,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
1/7/22,1/14/22,154,Come & Go (with Marshmello),Juice WRLD,1695278,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
1/7/22,1/14/22,155,Lost in the Fire (feat. The Weeknd),Gesaffelstein,1692780,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
1/7/22,1/14/22,156,For Tonight,Giveon,1692710,https://open.spotify.com/track/61Emqg95O9zo1GNOcyxq4Y
1/7/22,1/14/22,157,Moth To A Flame (with The Weeknd),Swedish House Mafia,1692139,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
1/7/22,1/14/22,158,Redbone,Childish Gambino,1691679,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
1/7/22,1/14/22,159,Heather,Conan Gray,1688399,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
1/7/22,1/14/22,160,Whiskey Glasses,Morgan Wallen,1685188,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
1/7/22,1/14/22,161,Hrs and Hrs,Muni Long,1678668,https://open.spotify.com/track/3xRH6FPVtheDyNla3T1FE7
1/7/22,1/14/22,162,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,1667452,https://open.spotify.com/track/30QR0ndUdiiMQMA9g1PGCm
1/7/22,1/14/22,163,Wandered To LA (with Justin Bieber),Juice WRLD,1664718,https://open.spotify.com/track/1cA4wEmLkKlttS6N89LbJh
1/7/22,1/14/22,164,Wishing Well,Juice WRLD,1661508,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
1/7/22,1/14/22,165,we fell in love in october,girl in red,1661361,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d
1/7/22,1/14/22,166,Miserable Man,David Kushner,1650603,https://open.spotify.com/track/6gPPoRYJwCsoB2VVdPJfmo
1/7/22,1/14/22,167,It'll Be Okay,Shawn Mendes,1647513,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
1/7/22,1/14/22,168,Washing Machine Heart,Mitski,1639583,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu
1/7/22,1/14/22,169,DÁKITI,Bad Bunny,1634220,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
1/7/22,1/14/22,170,LOVE. FEAT. ZACARI.,Kendrick Lamar,1629763,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
1/7/22,1/14/22,171,Star Shopping,Lil Peep,1628198,https://open.spotify.com/track/30bqVoKjX479ab90a8Pafp
1/7/22,1/14/22,172,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,1625680,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
1/7/22,1/14/22,173,my ex's best friend (with blackbear),Machine Gun Kelly,1620720,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
1/7/22,1/14/22,174,Electric Love,BØRNS,1619622,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
1/7/22,1/14/22,175,goosebumps,Travis Scott,1610823,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
1/7/22,1/14/22,176,Dreams - 2004 Remaster,Fleetwood Mac,1610006,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
1/7/22,1/14/22,177,She Knows (feat. Amber Coffman & Cults),J. Cole,1606584,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
1/7/22,1/14/22,178,Sand In My Boots,Morgan Wallen,1605140,https://open.spotify.com/track/0uRrG2jRR5tuifsYIJHEao
1/7/22,1/14/22,179,Dandelions,Ruth B.,1599736,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
1/7/22,1/14/22,180,Lost,Frank Ocean,1595757,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
1/7/22,1/14/22,181,Mood (feat. iann dior),24kGoldn,1593500,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
1/7/22,1/14/22,182,The Motto,Tiësto,1588057,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
1/7/22,1/14/22,183,Heartless,Kanye West,1572835,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
1/7/22,1/14/22,184,Girls Want Girls (with Lil Baby),Drake,1572184,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
1/7/22,1/14/22,185,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,1557236,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
1/7/22,1/14/22,186,Yes Indeed,Lil Baby,1554348,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
1/7/22,1/14/22,187,Me or Sum (feat. Future & Lil Baby),Nardo Wick,1553213,https://open.spotify.com/track/2HHLfzE7PkljuqyYU4vwmh
1/7/22,1/14/22,188,Fuck Love (feat. Trippie Redd),XXXTENTACION,1549751,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
1/7/22,1/14/22,189,Not Allowed,TV Girl,1542718,https://open.spotify.com/track/0jA4h2SD50Oak4C3Vn905a
1/7/22,1/14/22,190,Watermelon Sugar,Harry Styles,1540062,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
1/7/22,1/14/22,191,Jealous,Eyedress,1538763,https://open.spotify.com/track/0AKS1WVEOUSYa3D2ZyOJvM
1/7/22,1/14/22,192,LOT OF ME,Lil Tecca,1530385,https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB
1/7/22,1/14/22,193,Love Sosa,Chief Keef,1512502,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
1/7/22,1/14/22,194,Get You (feat. Kali Uchis),Daniel Caesar,1509805,https://open.spotify.com/track/7zFXmv6vqI4qOt4yGf3jYZ
1/7/22,1/14/22,195,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,1506879,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
1/7/22,1/14/22,196,Calling My Phone,Lil Tjay,1505343,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
1/7/22,1/14/22,197,"Colombia, Mi Encanto",Carlos Vives,1493356,https://open.spotify.com/track/2Q5q1q01KOdHt5fM00WUJ8
1/7/22,1/14/22,198,you broke me first,Tate McRae,1491820,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
1/7/22,1/14/22,199,It's Called: Freefall,Rainbow Kitten Surprise,1488445,https://open.spotify.com/track/474uVhyGgK5MtY9gMcDgGl
1/7/22,1/14/22,200,Fell In Luv (feat. Bryson Tiller),Playboi Carti,1486864,https://open.spotify.com/track/1s9DTymg5UQrdorZf43JQm
12/31/21,1/7/22,1,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,6786304,https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz
12/31/21,1/7/22,2,Heat Waves,Glass Animals,6193738,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
12/31/21,1/7/22,3,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,5992016,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
12/31/21,1/7/22,4,STAY (with Justin Bieber),The Kid LAROI,5804965,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
12/31/21,1/7/22,5,Super Gremlin,Kodak Black,5356391,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
12/31/21,1/7/22,6,abcdefu,GAYLE,5165827,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
12/31/21,1/7/22,7,Easy On Me,Adele,4792791,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
12/31/21,1/7/22,8,Surface Pressure,Jessica Darrow,4680735,https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU
12/31/21,1/7/22,9,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,4304854,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
12/31/21,1/7/22,10,good 4 u,Olivia Rodrigo,4276881,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
12/31/21,1/7/22,11,Kiss Me More (feat. SZA),Doja Cat,4188150,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
12/31/21,1/7/22,12,Need to Know,Doja Cat,4177119,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
12/31/21,1/7/22,13,Broadway Girls (feat. Morgan Wallen),Lil Durk,4046228,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
12/31/21,1/7/22,14,Knife Talk (with 21 Savage ft. Project Pat),Drake,3953706,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
12/31/21,1/7/22,15,Cold Heart - PNAU Remix,Elton John,3933639,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
12/31/21,1/7/22,16,I Hate U,SZA,3888269,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
12/31/21,1/7/22,17,Woman,Doja Cat,3608711,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
12/31/21,1/7/22,18,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,3439606,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
